DCid	species	factor	factor_type	GSM	GSE	cellLine	CellType	Tissue	res_path	res_size	narrowPeak	peakXls	bigwig	summit	RP	X5foldPeakRP	json	bam	TreatOrControlReplicates	ReadLength	FastQC	RawReadsNumber	UniquelyMappedReadsNumber	UniquelyMappedRatio	PBC	FRiP	PeaksNumber	PeaksFoldChange..10	PeaksFoldChange..20	FragmentSize	ChIPReplicatesPairwiseLabels	ReplicatesOverlapRatio	ReplicatesWigCorrelation	MergedPeaksNumber	MergedPeaksFoldChange..10	MergedPeaksFoldChange..20	MergedPeaksPromoterPercentage	MergedPeaksExonPercentage	MergedPeaksIntronPercentage	MergedPeaksIntergenicPercentage	MergedPeaksUnionDHSRatio
41107	Homo_sapiens	DNase	ca	GSM849025	GSE26328	None	Epithelium	Lung	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41107	1.1G	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41107/41107_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41107/41107_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41107/41107_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41107/41107_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41107/attic/41107_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41107/attic/41107_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41107/attic/json	NA	41107_treat_rep1	36	36	296719796	243354563	0.8201	0.954	0.5615185	278098	62444	337	69	NA	NA	NA	278098	62444	337	0.056240345	0.036596915	0.414535778	0.492626962	0.981
41108	Homo_sapiens	DNase	ca	GSM849027	GSE26328	None	Cortex	Kidney	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41108	976M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41108/41108_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41108/41108_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41108/41108_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41108/41108_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41108/attic/41108_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41108/attic/41108_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41108/attic/json	NA	41108_treat_rep1	36	35	284056343	236681099	0.8332	0.949	0.576824	288634	61850	618	69	NA	NA	NA	288634	61850	618	0.056532567	0.034336476	0.445111587	0.464019369	0.9812
41109	Homo_sapiens	DNase	ca	GSM849026	GSE26328	None	Astrocyte	Brain	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41109	906M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41109/41109_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41109/41109_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41109/41109_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41109/41109_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41109/attic/41109_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41109/attic/41109_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41109/attic/json	NA	41109_treat_rep1	36	37	307812903	231484037	0.752	0.955	0.5523745	257343	55702	570	64	NA	NA	NA	257343	55702	570	0.056939862	0.042193239	0.451320581	0.449546318	0.981
41110	Homo_sapiens	DNase	ca	GSM849028	GSE26328	None	Fibroblast	Lung	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41110	1.1G	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41110/41110_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41110/41110_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41110/41110_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41110/41110_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41110/attic/41110_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41110/attic/41110_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41110/attic/json	NA	41110_treat_rep1	36	37	368365528	295823455	0.8031	0.937	0.61442675	231060	49566	279	56	NA	NA	NA	231060	49566	279	0.063647236	0.045126792	0.451406583	0.439819389	0.979
41429	Homo_sapiens	DNase	ca	GSM1102738	GSE18927	None	None	Psoas_Muscle	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41429	176M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41429/41429_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41429/41429_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41429/41429_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41429/41429_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41429/attic/41429_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41429/attic/41429_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset41429/attic/json	NA	41429_treat_rep1	36	37	31024415	20363551	0.6564	0.981	0.25317025	77018	21298	794	64	NA	NA	NA	77018	21298	794	0.134392594	0.064322771	0.434058433	0.367226202	0.9776
41430	Homo_sapiens	DNase	ca	GSM1102739	GSE18927	None	Epithelium	Small_Intestine	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset41430	1.5G	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset41430/41430_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset41430/41430_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset41430/41430_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset41430/41430_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset41430/attic/41430_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset41430/attic/41430_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset41430/attic/json	NA	61911_DNase_treat_rep1	36	37	417813293	289167081	0.6921	0.976	0.42360725	213906	20647	3	58	NA	NA	NA	213906	20647	3	0.072554142	0.04991901	0.446953737	0.430573111	0.951
42138	Homo_sapiens	DNase	ca	GSM1220602	GSE18927	None	Epithelium	Fetal_Kidney	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42138	221M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42138/42138_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42138/42138_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42138/42138_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42138/42138_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42138/attic/42138_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42138/attic/42138_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42138/attic/json	NA	42138_treat_rep1	36	36	28984289	24610189	0.8491	0.992	0.1271885	74159	8715	48	54	NA	NA	NA	74159	8715	48	0.153179308	0.07318687	0.362504557	0.411129265	0.9742
42139	Homo_sapiens	DNase	ca	GSM1220603	GSE18927	None	Epithelium	Fetal_Kidney	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42139	304M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42139/42139_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42139/42139_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42139/42139_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42139/42139_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42139/attic/42139_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42139/attic/42139_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42139/attic/json	NA	42139_treat_rep1	36	38	45862249	37276660	0.8128	0.985	0.27808575	121604	21292	599	70	NA	NA	NA	121604	21292	599	0.109657608	0.061381916	0.39486618	0.434094296	0.975
42140	Homo_sapiens	DNase	ca	GSM1220604	GSE18927	None	B_Lymphocyte	Spleen	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42140	1.3G	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42140/42140_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42140/42140_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42140/42140_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42140/42140_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42140/attic/42140_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42140/attic/42140_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42140/attic/json	NA	42140_treat_rep1	36	37	463208448	353217704	0.7625	0.959	0.47148975	100519	3580	2	61	NA	NA	NA	100519	3580	2	0.114983135	0.080474223	0.416032972	0.38850967	0.9758
42141	Homo_sapiens	DNase	ca	GSM1220605	GSE18927	None	Fibroblast	Fetal_Skin_Back	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42141	980M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42141/42141_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42141/42141_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42141/42141_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42141/42141_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42141/attic/42141_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42141/attic/42141_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42141/attic/json	NA	42141_treat_rep1	36	37	434940724	304508680	0.7001	0.946	0.67823225	285717	78690	3009	60	NA	NA	NA	285717	78690	3009	0.054556412	0.039865317	0.437807232	0.467771039	0.9806
42142	Homo_sapiens	DNase	ca	GSM1220606	GSE18927	None	Fibroblast	Fetal_Skin_Scalp	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42142	936M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42142/42142_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42142/42142_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42142/42142_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42142/42142_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42142/attic/42142_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42142/attic/42142_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42142/attic/json	NA	42142_treat_rep1	36	38	450844931	316365423	0.7017	0.936	0.70320175	294350	78472	2843	59	NA	NA	NA	294350	78472	2843	0.053902682	0.038787079	0.4384409	0.468869339	0.9792
42143	Homo_sapiens	DNase	ca	GSM1220607	GSE18927	None	None	Fetal_Skin_Abdomen	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42143	1.2G	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42143/42143_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42143/42143_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42143/42143_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42143/42143_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42143/attic/42143_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42143/attic/42143_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42143/attic/json	NA	42143_treat_rep1	36	37	481924860	311749549	0.6469	0.952	0.6127265	295090	60680	500	60	NA	NA	NA	295090	60680	500	0.052608008	0.038273632	0.435829494	0.473288866	0.9806
42144	Homo_sapiens	DNase	ca	GSM1220608	GSE18927	None	None	Fetal_Skin_Upper_Back	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42144	948M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42144/42144_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42144/42144_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42144/42144_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42144/42144_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42144/attic/42144_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42144/attic/42144_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42144/attic/json	NA	42144_treat_rep1	36	35	588576854	313522078	0.5327	0.946	0.7017795	327875	83633	2807	60	NA	NA	NA	327875	83633	2807	0.050146664	0.03728111	0.434739743	0.477832482	0.979
42145	Homo_sapiens	DNase	ca	GSM1220609	GSE18927	None	None	Fetal_Skin_Biceps_Right	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42145	1.1G	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42145/42145_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42145/42145_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42145/42145_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42145/42145_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42145/attic/42145_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42145/attic/42145_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42145/attic/json	NA	42145_treat_rep1	36	37	626168429	348899165	0.5572	0.941	0.702693	299702	74391	1689	59	NA	NA	NA	299702	74391	1689	0.053452986	0.039509455	0.43681827	0.470219289	0.9786
42146	Homo_sapiens	DNase	ca	GSM1220610	GSE18927	None	None	Fetal_Skin_Quadriceps_Right	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42146	903M	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42146/42146_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42146/42146_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42146/42146_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42146/42146_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42146/attic/42146_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42146/attic/42146_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data5_Result_new/Result_new/dataset42146/attic/json	NA	42146_treat_rep1	36	37	307757056	221203048	0.7188	0.957	0.5630845	242594	58923	893	64	NA	NA	NA	242594	58923	893	0.05869462	0.039041704	0.43729597	0.464967706	0.979
42165	Homo_sapiens	DNase	ca	GSM1224666	GSE50610	HCT-116	None	Colon	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42165	250M	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42165/42165_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42165/42165_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42165/42165_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42165/42165_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42165/attic/42165_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42165/attic/42165_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42165/attic/json	NA	42165_treat_rep1	36	34	55463907	41865763	0.7548	0.964	0.33019625	76277	28120	1115	58	NA	NA	NA	76277	28120	1115	0.132989271	0.060276563	0.366649595	0.440084571	0.9738
42166	Homo_sapiens	DNase	ca	GSM1224667	GSE50610	HCT-116	None	Colon	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42166	209M	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42166/42166_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42166/42166_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42166/42166_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42166/42166_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42166/attic/42166_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42166/attic/42166_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42166/attic/json	NA	42166_treat_rep1	36	34	52473046	39028011	0.7438	0.96	0.37238275	78833	31273	1598	58	NA	NA	NA	78833	31273	1598	0.13090156	0.05989226	0.367383239	0.44182294	0.976
42167	Homo_sapiens	DNase	ca	GSM1224668	GSE50610	HCT-116	None	Colon	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42167	265M	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42167/42167_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42167/42167_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42167/42167_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42167/42167_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42167/attic/42167_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42167/attic/42167_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42167/attic/json	NA	42167_treat_rep1	36	38	47733244	36563781	0.766	0.975	0.24548875	59718	18351	1124	118	NA	NA	NA	59718	18351	1124	0.156316557	0.083365477	0.322309614	0.438008352	0.973
42168	Homo_sapiens	DNase	ca	GSM1224669	GSE50610	HCT-116	None	Colon	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42168	155M	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42168/42168_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42168/42168_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42168/42168_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42168/42168_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42168/attic/42168_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42168/attic/42168_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42168/attic/json	NA	42168_treat_rep1	36	38	33861976	25882693	0.7644	0.929	0.16232625	56316	11801	304	128	NA	NA	NA	56316	11801	304	0.149534871	0.076572811	0.316002917	0.457889401	0.972
42601	Homo_sapiens	DNase	ca	GSM1234469	GSE51003	None	Epithelium	Epididymis	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42601	3.2M	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42601/42601_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42601/42601_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42601/42601_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42601/42601_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42601/attic/42601_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42601/attic/42601_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset42601/attic/json	NA	42601_treat_rep1	50	38	203439936	5455	0	0.966	0.0046049	1	0	0	NA	NA	NA	NA	1	0	0	0	0	1	0	1
42602	Homo_sapiens	DNase	ca	GSM1234470	GSE51003	None	Epithelium	Epididymis	/liulab-iris/Cistrome/CistromeDB/processed_data/data2_Result_new/Result_new/dataset42602	3.3M	/liulab-iris/Cistrome/CistromeDB/processed_data/data2_Result_new/Result_new/dataset42602/42602_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data2_Result_new/Result_new/dataset42602/42602_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/data2_Result_new/Result_new/dataset42602/42602_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/data2_Result_new/Result_new/dataset42602/42602_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/data2_Result_new/Result_new/dataset42602/attic/42602_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data2_Result_new/Result_new/dataset42602/attic/42602_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/data2_Result_new/Result_new/dataset42602/attic/json	NA	42602_treat_rep1	50	27	155268208	4058	0	0.87	0.007444169	1	1	0	NA	NA	NA	NA	1	1	0	0	0	1	0	1
43138	Homo_sapiens	DNase	ca	GSM1255262	GSE51915	LNCaP	Epithelium	Prostate	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset43138	186M	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset43138/43138_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset43138/43138_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset43138/43138_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset43138/43138_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset43138/attic/43138_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset43138/attic/43138_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset43138/attic/json	NA	43138_treat_rep1	50	36	41489765	30491281	0.7349	0.962	0.08477425	39648	8806	310	79	NA	NA	NA	39648	8806	310	0.188560989	0.075338121	0.341317973	0.394782918	0.9654
43139	Homo_sapiens	DNase	ca	GSM1255263	GSE51915	LNCaP	Epithelium	Prostate	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset43139	403M	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset43139/43139_sort_peaks.narrowPeak.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset43139/43139_peaks.xls	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset43139/43139_treat.bw	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset43139/43139_sort_summits.bed	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset43139/attic/43139_gene_score.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset43139/attic/43139_gene_score_5fold.txt	/liulab-iris/Cistrome/CistromeDB/processed_data/Result_new2/dataset43139/attic/json	NA	43139_treat_rep1	50	37	73188733	60105747	0.8212	0.981	0.0359355	30186	3162	21	122	NA	NA	NA	30186	3162	21	0.171710087	0.065197061	0.363527054	0.399565798	0.9654
